iter	Logloss	Logloss:use_weights=true	Logloss:use_weights=false
0	0.6890641421	0.6890641421	0.6890658277
1	0.6850625802	0.6850625802	0.6850675667
2	0.6811306568	0.6811306568	0.6811407355
3	0.677275445	0.677275445	0.6772929768
4	0.6734886501	0.6734886501	0.6735151003
5	0.6697708703	0.6697708703	0.669808199
6	0.6661390929	0.6661390929	0.6661880596
7	0.6625766558	0.6625766558	0.6626384478
8	0.6590463889	0.6590463889	0.6591237225
9	0.6556071139	0.6556071139	0.6556997295
10	0.6522155172	0.6522155172	0.6523244878
11	0.648917805	0.648917805	0.6490440499
12	0.6456999935	0.6456999935	0.6458449686
13	0.6425168249	0.6425168249	0.6426815356
14	0.6393577834	0.6393577834	0.6395437229
15	0.6362635755	0.6362635755	0.6364712737
16	0.633258285	0.633258285	0.6334886656
17	0.6302500881	0.6302500881	0.6305038252
18	0.6273238777	0.6273238777	0.6276023233
19	0.6244679141	0.6244679141	0.6247720117
20	0.6216669261	0.6216669261	0.6219964268
21	0.6189165729	0.6189165729	0.6192721261
22	0.6162090144	0.6162090144	0.616591424
23	0.6134941311	0.6134941311	0.6139042881
24	0.6108555861	0.6108555861	0.6112937271
25	0.608308487	0.608308487	0.6087753108
26	0.6057757665	0.6057757665	0.6062719277
27	0.6032935867	0.6032935867	0.6038192932
28	0.6008692559	0.6008692559	0.6014251399
29	0.5984617692	0.5984617692	0.5990486593
30	0.596097326	0.596097326	0.5967156397
31	0.5937297931	0.5937297931	0.5943801348
32	0.5914288035	0.5914288035	0.59211197
33	0.5891912235	0.5891912235	0.5899061046
34	0.5869805047	0.5869805047	0.5877274317
35	0.5848264326	0.5848264326	0.5856049886
36	0.582637742	0.582637742	0.5834497149
37	0.5805020788	0.5805020788	0.5813477326
38	0.578422441	0.578422441	0.5793018619
39	0.5763871249	0.5763871249	0.5773001604
40	0.5743978697	0.5743978697	0.5753447038
41	0.5723835461	0.5723835461	0.5733642539
42	0.570448441	0.570448441	0.5714634418
43	0.5685350629	0.5685350629	0.5695852075
44	0.5665960234	0.5665960234	0.5676804686
45	0.5647462198	0.5647462198	0.5658650918
46	0.5629535546	0.5629535546	0.5641070677
47	0.5611907587	0.5611907587	0.5623784351
48	0.5593957286	0.5593957286	0.5606186757
49	0.5576740053	0.5576740053	0.5589314922
50	0.5559029849	0.5559029849	0.5571950727
51	0.5542855708	0.5542855708	0.5556117372
52	0.5526119635	0.5526119635	0.5539734194
53	0.5510084253	0.5510084253	0.5524049256
54	0.549429839	0.549429839	0.5508614931
55	0.5477989389	0.5477989389	0.5492653688
56	0.5462559742	0.5462559742	0.5477579012
57	0.544668217	0.544668217	0.5462049033
58	0.543185635	0.543185635	0.5447574819
59	0.5416541826	0.5416541826	0.5432604513
60	0.5401933456	0.5401933456	0.5418346341
61	0.5387243595	0.5387243595	0.5403999674
62	0.5372907896	0.5372907896	0.5390012605
63	0.5358783334	0.5358783334	0.5376238014
64	0.5344883079	0.5344883079	0.5362687488
65	0.5331301684	0.5331301684	0.5349456174
66	0.5317312628	0.5317312628	0.5335812136
67	0.530412295	0.530412295	0.5322971328
68	0.5291071642	0.5291071642	0.5310266506
69	0.5277872709	0.5277872709	0.529741186
70	0.5265349626	0.5265349626	0.5285232155
71	0.5252461966	0.5252461966	0.52726733
72	0.5239964025	0.5239964025	0.5260522903
73	0.5227537486	0.5227537486	0.5248438473
74	0.5214783579	0.5214783579	0.5236023201
75	0.5203351515	0.5203351515	0.5224922715
76	0.5191475609	0.5191475609	0.5213384029
77	0.5179654046	0.5179654046	0.520190331
78	0.516813102	0.516813102	0.5190720606
79	0.5156874126	0.5156874126	0.5179794625
80	0.5146249371	0.5146249371	0.5169502934
81	0.5135561701	0.5135561701	0.5159143029
82	0.5124428091	0.5124428091	0.5148333343
83	0.5113831124	0.5113831124	0.5138065922
84	0.5103149016	0.5103149016	0.5127707195
85	0.5092778402	0.5092778402	0.5117657359
86	0.5082762251	0.5082762251	0.5107960669
87	0.5072163781	0.5072163781	0.5097681391
88	0.5062717582	0.5062717582	0.5088556072
89	0.5053229439	0.5053229439	0.5079392478
90	0.5044051064	0.5044051064	0.5070532596
91	0.5035868178	0.5035868178	0.5062619197
92	0.502692861	0.502692861	0.505398826
93	0.501907885	0.501907885	0.5046408658
94	0.5009793985	0.5009793985	0.5037432783
95	0.5000564092	0.5000564092	0.5028515907
96	0.4992202531	0.4992202531	0.5020467121
97	0.4984052372	0.4984052372	0.5012617565
98	0.4974799098	0.4974799098	0.500366359
99	0.496678295	0.496678295	0.499594101
